,0
79,[4583 2579   48 5027 1887 1588 2010 5423 4115 4390]
80,[3633 5192 4115 4583 2422 4077 1349 2589 4131 1797]
81,[4583 5192 8943  923 4115 2890 2010 1349 2046 2579]
82,[1959  659 4583 3481 9152  481 2595 5015 1289 1887]
83,[4583 2579   48 1887 3633 2422 5027 1938 3168 2451]
84,[4583 5192 3633 2579 2422   87 1887 1310 1648 4390]
85,[4583 2579 5027   48 1887 2010 8943  923 4115 4390]
86,[2579   48 4583 1887 3168 5027 3633 4384 1349 2593]
87,[4583 2579 3633 2422   48 2281  659 1888 1887   87]
88,[4583 1887 2579 4390   87 2593   48 1588 1310 2010]
89,[5027 5423   48 2579 2277 5476 6427 1663 4498 3168]
90,[2579   48 3633 4583 1887 3168 2451 4384 2422 1349]
91,[2579 4583   48 3633 1887 2422 3168  659 1888 2281]
92,[4583 1887 5027 2010 2579   48  923 2350 2593 4390]
93,[4583 3633 5192 2422 4115 4235 8943 5277 1110 4077]
94,[2579   48 4583 3168 5027 3633 1887 2422 1349 2224]
95,[4583 5423 8943 2959 2520  554 3276 2834 1588  583]
96,[1887 4583 2593 2579 2010 4384 2046 1648 4390   48]
97,[1887 2052 5027   48 2579 3168 2593 2010 7603 4384]
98,[4583 1887 2579   48 2593 4384 4390 2010 5027 2451]
99,[4583 1887 2579 2010 4390 1588 5027 8943   87 2593]
100,[4583 3633 2422 2579 5192 4077  659   87 2451 1888]
101,[1887 2579 4583   48 2593 5027 4384 2010 4390 3168]
102,[4583 2579 3633   48 2422 1887   87 1588 2281 4390]
103,[4583 1887 2579   48 2010 4390   87 5027 5192 2593]
104,[4583 2579   48 1887 5027 3633 3168 2010 1349 4384]
105,[1887 5027 2579 4583   48 2010 2593 4384 3168 2052]
106,[4583 1887 2579 5192 2010   87 8943 4390 2046 4115]
107,[4583 2422 9152 3633 2186 1588   87  659 5277 1310]
108,[4583 2579   48 1887 5027 3633 3168 2422 1349 2010]
109,[2579   48 3633 8821 3168 2281 2422 3136 4583 4235]
110,[4583 8943 2579 4115 5027  923   48 7584 5423 2422]
111,[4583 3633 2422 5192 2579 4077 4131 2451 4115  659]
112,[1887 1648 2579 2451 4384   48 2661  266  659 1289]
113,[2144 4583 2579  659 1588 2052 2281   48 2277 1887]
114,[3633   48 2579 3168 2422 1349 2661 5192 2589 4131]
115,[4583 8943 2350 1588 6427 3500 2010 4390 5423 1887]
116,[4583 2579   48 3633 2422 4115 5027 2281 4235 1588]
117,[3633 4583 2579   48 2422  659 1888 5192 4131 2451]
118,[4583 2579   48 5027 1887 3633 2422 2010 1588 4115]
119,[2579   48 1887 4583  659 3633 2144 2451 2661 3136]
120,[2579   48 3633 3168 4583 5027 2422 2281 4235 3136]
121,[4583 2579   48 1887 5027 3633 2422 3168 2593 2010]
122,[2579 4583   48 1887 5027 3168 3633 1349 4384 2010]
123,[3633 2579   48 2422 4583 3168 2941 1888 3136  659]
124,[1887 4583 2579 5027   48 2010 2593 4384 4390 2052]
125,[8943 4583  923 4115 4235 5822 5027 2967 7584 2733]
126,[4583 8943 4115 5192  923 2520 7584 6103 4235 2350]
127,[4583 1588   87 4390 2579 8943 1887 5192 1310 2422]
128,[4583 1887 2579 1588 4390 2010   87 5027   48 8943]
129,[4583 5192 1887 2046 2579   87 2890 1310 4115 1648]
130,[2579   48 1887 4583  659 3168 3633 4384 2144 3136]
131,[4583 2579   48 1887 3633 1588 2281  659 2422 2593]
132,[3633 2422  659 2941 4583 2579 1888   48 4131 4235]
133,[4583 2579 1887   48 5027 2010 4390   87 1588 5192]
134,[3633 2579   48 2422 3168 2941 3136 4583 4131 2661]
135,[4583 3500 1588 8943 2707 8923 4390 2520   87 7258]
136,[2579   48 3633 3168 4583 1887 1349 2422 4384 5027]
137,[8821 4040   48 3168 3136 2579 2941 5567 3633 4235]
138,[4583 3633 1648 1887 2451 2579 5192   48 4077 2422]
139,[4583 2579   48 3633 2422 5027 4115 1887 2281 1588]
140,[4583 2579 3633   48 2422 1887 5192 4115   87 1938]
141,[2579   48 3168 4583 3633 5027 1887 3136 2422 1349]
142,[4583 8943 2350 8923  923 3500 6427 2010 2890 7584]
143,[4583 1887 2579   48 5027 2010 4390 2593   87 1588]
144,[4583 2579 1588   48 4390 5027 1887   87 5423 2281]
145,[4583 2422 1588   87 3633 2579 8943 5192 4390 4115]
146,[2144 8821 2579 2281 4583 5423   48 2277 1588 4040]
147,[4583 2579 1887   48 5027 2010 4390 2593   87 3633]
148,[3633 2941 4077 2661 2589 2422  659 4131 2595  696]
149,[4583 2579   48 1887 3633 5027 2422 3168 4384 1938]
150,[4583 8943 5027 1588 5423 2579 2010 7584 2350  923]
151,[4583 1887 2579   48 5027 2593 2010 4390 1588   87]
152,[1297 2144  659  257  474 2386 3136 2235  181 1959]
153,[3633   48 2579 3168 4235 2422 1349 4115 2941 3136]
154,[4583 5192 4115 1349  923 1797 3633 8943 2890 2422]
155,[4583 1887 2579   48 5027 1588 2593 4390 2010   87]
156,[2579 1887   48 4583 3633 4384 2593 2451 3168  659]
157,[3633 4583 2579 2422   48 4115 4235 1349 5192 3168]
158,[1887 2052 6427 2593 2010 4583 1588 2761 5027 4390]
159,[1887 2144 2579 2052   48 2235  474 2593 1721 2501]
160,[4583 2579 1588   87 4390 2422   48 2281 3633 1887]
161,[4583 8943 2579 1588 4115 5027   87 2010 4390 7584]
162,[1887 2579   48 4583 4384 2593 3168 5027 2010 1349]
163,[4583 5192 2579 8943 4115 5027  923 2010 1887 1349]
164,[4583 5027 2579   48  923 1349 4115 2010 3168 7584]
165,[4583 2579   48 1887 3633 2422 5027 1938 1349 4384]
166,[3633  659 1297   48 2579 3136 2941 3168 2661  474]
167,[4583 2579 1887   48 1588 2593 4390 2052   87 5027]
168,[4583 2579 1887   48 5027 2010 5192 4390   87 4115]
169,[4583 5192 2579 1887 4115 8943 2010 2890 2046 1349]
170,[2579   48 4583 3633 3168 2422 2281 5027 2224 3136]
171,[4583 1887 1588 2579 4390 2593 2010 2052 5027   87]
172,[4583 5192 4115 1797 2890 1349 3633 1648 2579 2046]
173,[4583 1887 2046 2010 4390 2593   87 2350 7677 8943]
174,[3168 3456  923 2114   48 5027 4235 1349 1159 5890]
175,[4583 3633 4115 2422 5192 2579 4235   48 8943 1349]
176,[4583 2579   48 3633 2422 2281  659 1888 2224 1761]
177,[2579 3633   48 4583  659 2422 2281 3136 8821 1888]
178,[4583 8943 2579   87 1588 5192 4390 4115 2010 1887]
179,[4583 3633 2422 5192 2579 4115 4131 4077 1888   48]
180,[4583 1887 2046 4390 7677 2593   87 1310 2010 8943]
181,[2579   48 1887 3633 3168 4583 4384 2451  659 2661]
182,[4583 4115  923 5192 4235 8943 1349 3633 2422 5027]
183,[4583 2579 1887   87 4390 2422 1588 5192 3633   48]
184,[3633 4583 2422 4235 2579 4115   48 2281 4131 1888]
185,[4583 2579   48 1887 1349 5192 3633 5027 4115 4384]
186,[3633 2579 4583  659 2422   48 1888 2661 4131 3136]
187,[4583 5192 1349 2579 4115  923   48 1797 5027 1887]
188,[4583 2579 1887   48 4390 1588 2593   87 3633 2422]
189,[4583 2579 1887   48 3633 2422 5192 2451 1648 1349]
190,[ 659 2144 1297 3633 2941  257 8821  481 2281 3136]
191,[4583 5192 8943 2890 4115 1797 2046 3446 4020  923]
192,[4583 5192 1310   87 2422 3633 4390 2186 4077 1887]
193,[4583 2579   48 5027 4115 3168 1349  923 3633 2422]
194,[2579   48 5423 8821 4583 2281 5027 2277 2614 4235]
195,[3633 4583 2579 2422   48 5192 4115 1349 4131 4077]
196,[3168   48 2579 4384 1349 1887 5027 2232 1758 3633]
197,[  48 2579 3168 3633 4235 4115 5027 4583 1349 2422]
198,[2579   48 3633 3168 4583 2422 3136 5027 1349 1888]
199,[4583 1588 1887 4390 8943   87 2579 2010 5027 2350]
200,[5027 1887   48 2579 3168 2010 4384 4583  923 2593]
201,[2579 4583 1887   48 5027 3168 4384 2593 2010 1349]
202,[3633 2579   48 4583 2422 3168 4115 1349 4235 5192]
203,[3633 4583 2579 2422   48  659 1888 4131 2661 2941]
204,[4583 1887 2579   48 1648 5192 4384 2451 1349 2010]
205,[2579   48 5027 4583 5423 3168 2281 2277 2144 1588]
206,[4583 1588 5423 2277 2281 8943 2761 2052 2959 5027]
207,[4583 1887 2579 5192 3633   87 2422 1310 4390 1648]
208,[4583 3633 2422 2579 1588   87 2281 4115   48 5192]
209,[1887 4583 2593 2010 2579 2046 4390 4384 5027   48]
210,[4583 1887 2579 2593 4390   87   48 1310 1588 2451]
211,[4583 2579   48 1887 5027 1588 2010 3168 2593 4390]
212,[4583 2579 1887 5027   48 2010 1588 4390 2593   87]
213,[1887 2579   48 4583 4384 2593 3168 5027 2010 2451]
214,[1887 4583 2579   48 5027 2593 2010 4390 4384 1588]
215,[  48 2579 3168 5027 2144 2281 8821 3136 5423 4583]
216,[4583 5027 2010 1887 2350  923 8943 6427 2579 7584]
217,[2579   48 4583 2144 2281 5423 5027 2277 8821 1588]
218,[4583 2579   48 3633 2422 1887 2281  659 3168 1888]
219,[4583 3633 2422 5192 4115 2579 4235 4131 4077 1110]
220,[2579 1887   48 4583 2144 2593  659 2052 4384 5027]
221,[4583 3633 2579 2422   48 5192 4115 4131 1349 4235]
222,[4583 1588 2579 5423 4390   87 2277 8943 2281 5027]
223,[5027   48 2579 3168  923 4583 1349 5423 7584 5476]
224,[4583 3633 2422 5192 2186 9152 5277 4077   87 2595]
225,[3633 4583 2579 2422   48  659 1888 4131 2661 3136]
226,[4583 2579 3633 2422   48 5192 4115   87 1938 1887]
227,[4583 5192 3633 4115 2422 4077 2890 1797 1349 1648]
228,[4583 2579   48 4115 5027 3633 1349 2422 5192  923]
229,[1887 4583 2010 2593 2046 2350 5027 6427 4390 7677]
230,[1887 2579   48 4583 4384 3168 2451 1648 3633 1349]
231,[4583 2579   48 1887 5027 3633 2010 1349 2422 4384]
232,[3633 2579 2422   48 2941  659 4583 1888 4131 3136]
233,[1887 4583 2010 5027 2593 2350 2046  923 4384 2579]
234,[3633 4583 2579 2422   48 4115 4235 1349 3168 4131]
235,[1887 2579   48 5027 4384 4583 2593 2010 3168 1349]
236,[1887 4583 2579 2451 1648   48 2593 3633 4384 1310]
237,[3633 3168   48 1349 2579 2735 2422 4115 4235 5192]
238,[4583 1887 2579   48 2010 5027 4390   87 1588 2593]
239,[1887 4583 5027 2010 2350  923 2593 2579 6427 2046]
240,[1887 4583 2579 2593   48 2010 4390 4384   87 5027]
241,[2579 4583   48 3633 2422 1887 3168 2281 1888  659]
242,[4583 8943 2046 2350 5192 2890 2010  923 1887 4390]
243,[4583 1588 5423 2277 2281 2144 8821 2959 2579 3745]
244,[4583 2579 1588 1887 2281   48 4390  659   87 2422]
245,[4583 1887 2046 2010 4390   87 5192 8943 2579 2593]
246,[4583 2579   48 3633 4235 2422 4115 5027 3168 2281]
247,[1887 4583 2579 2593 4390   48 2010 4384 1310 1648]
248,[4583 2579 1887   48 5027 2593 2010 4390 4384 3168]
249,[3633 4583 5192 4077 2422 2595 1648 2451 2579 1289]
250,[1887 4583 2579   48 4384 2593 2451 3633 1648 5027]
251,[3633 4583 2422 5192 2579 4115   48 4131 4235 1349]
252,[4583 1887 2579   87 4390 1588 1310 2422   48 2593]
253,[2579 4583 1887   48 4384 3633 2593 3168 2451 5027]
254,[4583 5192 3500 6103 8943 6375 2890 2520  990 2188]
255,[4583 2579   48 5027 4115 5192 2010 1887  923 8943]
256,[4583 5192 1797 1349  923 4115 2591 2890 3446 4020]
257,[2144 2052 2579   48 5027 2277 1887 5423 1706 3168]
258,[1887 2593 2052 1959 2208 1921 7603 2501 1267 7149]
259,[1887 4583 1648 1310 2451 1289 4089 2593 2046   87]
260,[3633  659 2941 1297 3136 2579 8821 5567   48 2422]
261,[  48 2579 3168 5027 5423 5476 2614 4235 2114 8821]
262,[4583 2579   48 3633 2422 4115 5027 5192 1349 2281]
263,[4583 5027  923 2579   48 8943 4115 5423 7584 4235]
264,[5192 4583 1797 1349 1648 3633 2591 2579 1887 4115]
265,[ 659 1959 2144  481 9152 1297 3481 2595  602 4583]
266,[4583 5192 4115 1349 1797 3633  923 2890 2591 2422]
267,[2144 1297  474 2579   48  659 1887 3136 2235 3168]
268,[4583 1588 2579 2277 5423 4390 2281 5027   48   87]
269,[  48 3168 2579 3633 3136 4235 5027 8821 1349 2114]
270,[2579   48 3633 4583 2422 3168 4115 4235 1349 5027]
271,[4583 1887 5027 1588 2010 2593 2052 4390 2579 5423]
272,[2579 4583   48 3633 2422 2281  659 8821 1888 2224]
273,[4583 2579   48 5027 1887 1588 3168 2010 2281 5423]
274,[2579   48 4583 3633 2422 3168 4235 4115 5027 1349]
275,[4583 4115 3633 2422 5192 8943 2579 4235   48 1110]
276,[4583 1887 2579   48 5027 1588 2593 2052 4390 2010]
277,[5027 4583 5423 2579   48 2277 1588 5476 2010 7584]
278,[4583 2579 1887   48 3633 2422 2451   87 1648 4390]
279,[4583 2579 1887   87 4390 1588 2422 1310 3633   48]
280,[4583 1887 1648 1310 2579 2451 2046 2593   87 4390]
281,[4583 2579   48 3633 2422 5027 4115 1349 1887 3168]
282,[4583 8943 2520 3500 5277 6103 6896 1588 5192 2422]
283,[4583 1887 5027 2579 1588 2010 2052   48 5423 2593]
284,[  48 2579 3168 4384 1349 1887 3633 1648 5027 2451]
285,[4583 2579   48 3633 2422 2281 5027 2224 3168 1761]
286,[1297  659 1959 1401  474  935 2661 3136 2235 2941]
287,[2579 4583 1887   48 5027 4384 2593 3168 2010 4390]
288,[4583 3633 2579   48 2422 4115 1888 5192 1349 4131]
289,[2579 4583   48 1887 3633  659 2422 2593 2451 3168]
290,[1887 2052 7603 2593 5027 2144 2579   48 2761 2277]
291,[4583 1887 2010 2579 5027 2046   48 4390  923 5192]
292,[4583 2579   48 3633 2422 2281  659 1888 2224 1761]
293,[4583 3633 8821 2422 2281 2959  659 3745 5277 4235]
294,[2579   48 3633  659 2661 1887 3168 3136 2451 4384]
295,[3633 4583 2422  659 1888 2941 2579 2281 4131 4115]
296,[2144  659 2052 2579 4583 1588 2281 2277  257   48]
297,[2144 2579   48  659 2052  257 3136 1887 1297 2281]
298,[4583 2579   48 3633 2422  659 1887 2281 1888 2224]
299,[1887 2579 4583   48 2593 2451 4384 1648 1310 4390]
300,[4583 1588 2707 1887 4390   87  659  481 1310 9152]
301,[2579   48 5027 3168 4583 1887 5476 4384 5423 2052]
302,[5027 3168   48 2579  923 1887 1349 4384 1758 2010]
303,[4583  923 5027 8943 5192 2010 1349 2579 4115 2350]
304,[4583 2579   48 3633 1349 2422 4115 5027 5192 1887]
305,[4583 1887 2579 1588 2593 4390   48   87 1310 2052]
306,[4583 2579   48 1887 5027 3168 1588 2010 2593 4390]
307,[2052 2144 7603 1887 2761 2277 1706 5027 1327 2579]
308,[2579   48 1887 4583 3633 3168 4384 1349 1648 2451]
309,[3168   48 4384 2579  474 1887 3136 2661 3096  266]
310,[1887 2593 2052 2208 1959 1267 1921 4089 2046 4384]
311,[2579 4583   48 3633  659 2281 2422 2144 1888 3136]
312,[1887 2052 2593 7603 1588 4583 4390 2761 2010 2277]
313,[4583 3633 2422 2579   48 4115 4235 2281 5192 1888]
314,[4583 8943 4115  923 5027 2579 5192 7584 4235   48]
315,[4583 1887 2593 4390 2579 1310   87 1588 2451  659]
316,[1887 4583 2579 2593 5027 2010   48 4384 4390 2052]
317,[4583 2579   48 3633 2422 1887 5192 1349 4115 1938]
318,[4583 2579 5192 3633 1887 2422   48 4115 1648   87]
319,[3633 2579   48 2422 3168  659 3136 2661 4583 2941]
320,[4583 8943  923 2350 5027 2010 5192 2890 4115 2046]
321,[4583 2579 1887   48 5027 2010 2593 3168 4384 4390]
322,[4583 1887 2579   48 3633   87 2422 2451 4390 5192]
323,[4583 1887 1588 2052 4390 2593 2579   87 2277 2144]
324,[2579   48 1887 4583  659 2144 3633 3168 2593 4384]
325,[4583 5192 3633 4077 2422 2595 1289 1648 6868 1310]
326,[4583 5192 2890 8943 4020 1797 3446 2046 4115  923]
327,[  48 3168 2579  474 3136 4384 1887 2661 3633 1297]
328,[3500 8923 4583 2046 8943 7258 1062 6251 7677 7703]
329,[2579 4583   48 1887 3633  659 2422 3168 2593 2451]
330,[2579 3633   48  659 3136 2661 3168 2422 4583 1888]
331,[4583 2579   48 3633 2422 4115 5027 2281 1588 4235]
332,[  48 3168 2579 5027 1887 4384 3136 1349  474 5476]
333,[4583 3633 2422 2579 5192 4115   87   48 1588 4390]
334,[3633   48 2579 3168 1349 5192 2422 2589 2661 4131]
335,[4583 2579   48 5027 1887 1349 3633 4115 2422 3168]
336,[4583 2046 8943 5192   87 2890 4390 1887 3500 1310]
337,[3745 2959 8821 9600  868 4583 5277 2281 6250 2520]
338,[4583 2579 3633   48 2422 4115 5192 1349 1938 4235]
339,[4583 2579 3633 5192 2422   48 4115 1349 1887   87]
340,[4583 1887 2579 1588 4390   48 2593   87 2010 5027]
341,[4583 8943  923 5027 2010 2350 2579 4115 5192 7584]
342,[2579   48 4583 3633 3168 1349 2422 4115 5027 5192]
343,[4583 1887 2046 4390   87 3500 7677 1310 2593 1588]
344,[4583 2579 1887 5027   48 2010 4390 1588   87 8943]
345,[4583 2579   48 3633 2422 2281 5027 2224 3168 1588]
346,[4583 8943 1588 4390 3500   87 2350 2010 2046 7584]
347,[4583 2579   48 3633 1887 2422 5027 1938   87 2281]
348,[5027 1887 4583 2579   48 2010 2593 5423 2052  923]
349,[4583 2579 5192 1887   48 4115 2010   87 5027 2422]
350,[2579   48 3168 3633 4583 1887 1349 4384 2422 5027]
351,[  48 2579 1887 3168 5027 4384 1349 4583 2010 2593]
352,[4583 2579 1887   48 3633 2422   87 2451 4390 1310]
353,[4583 2579   48 5027 1887 1588 2010 2422 4390 4115]
354,[4583 1887 4390 1588   87 2593 2579 2010 2046 1310]
355,[3633 2579 4583   48 2422 5192 1349 4131 3168 1888]
356,[4583 2579 1887   48 3633 2422   87 4390 1938 2593]
357,[3633 2422 4235 4115 5192 2941 4131 4583 2589 4077]
358,[4583 1588 4390 2579   87 1887 8943 2010 5423 5027]
359,[4583 3633 2595  659 1289 2451 1648 1887 4077 1310]
360,[4583 8943 8923 2350  923 2890 3500 6103 2046 5192]
361,[4583 2579   48 1887 3633 2422 4390 2593   87 1588]
362,[1887 2579   48 5027 3168 4384 2052 2593 4583 2010]
363,[4583 5192 8943 4115 2890   87 2579 2422 4390 2046]
364,[4583 8943 5192 4115 2890 2422 6103 2520 3633 1110]
365,[4583 2579   48 5027 1887 2010 4115 1349 2422 3633]
366,[4583 1887 2046 2010 4390   87 2593 5192 1310 2579]
367,[4583 2579   48 5027 1588 5423 2422 2281 4115 3633]
368,[4583 2579 1887   48 1588 4390 2593 5027   87 2010]
369,[4583 1588 2579 1887 4390 5027 2010   48   87 5423]
370,[4583 2579 1887 4390 1588   87 2010   48 5027 2593]
371,[5027   48 2579 4583 3168  923 2010 1887 5423 1349]
372,[ 659 2144 3633 4583  481 1297 2579 9152 2422 1888]
373,[  48 2579 1887 3168 4384 5027 1349 4583 2593 2010]
374,[4583 2579   48 3633  659 2422 2281 1888 1887 2224]
375,[4583 2579 5027   48  923 1349 2010 1887 4115 3168]
376,[3168   48 2579 3633 1349 4384 3136 5027 2735 2661]
377,[4583 2579 1887   48 5027   87 4390 2010 2422 3633]
378,[4583 5192 2890 4115 1797 8943 1349 2046 2591  923]
379,[4583 2579 1887   48 5027 2593 1588 4390 2010 3633]
380,[4583 2579 1887   48 5027 1588 4390 2010   87 2593]
381,[4583 1887 2579   48 2593 5027 2010 4384 4390   87]
382,[5027 2579 4583   48 1887 5423 2010 1588 2052 3168]
383,[3633 2941   48 3168 2579 3136 2422 2661 4131 4235]
384,[2579   48 3633 4583 3168 2422 1887 1349 4384 2451]
385,[  48 2579 3633 3168 3136 2422 4235 4583 5027 8821]
386,[2579 4583   48 3633 1887 2422 3168 5027 2281  659]
387,[4583 1887 1797 2046  923 2010 4965 5192 2350 2890]
388,[4583 1887 2579 2010 4390   87 2046 2593 5192   48]
389,[3633 2579   48 4583 2422 3168 1349 5192 4115 4131]
390,[3633 2941 1297  659 2661 3136   48 2579 3168 2422]
391,[  48 2579 1887 3168 4384 3136 2661 2451  474 1349]
392,[4583  558 2707 3500  990 8441 1310 2186 9152 2635]
393,[4583 4235 5423 4115 8943  554 3276 2422  583 2579]
394,[8943 4583 2350 8923 6427  923 3500 2010 2046 5027]
395,[ 659 2579   48 3633 2144 1297 3136 2661 1888  474]
396,[2579   48 4583 1887 5027 3168 4384 2593 2010 1349]
397,[  48 3168 2579 1349 5027 3633 4583 4235 4115  923]
398,[4583 5192 3633 2422 1310 4077   87 2186 2890 4115]
399,[4583 2579   48 1887 3633 2422 2281  659 5027 3168]
400,[4583 2579   48 1887 3633 1349 3168 5027 2422 4384]
401,[4583 5027 2579 8943  923 2010   48 4115 2350 7584]
402,[1887   48 2579 5027 3168 4384 4583 2593 2052 2010]
403,[4583 2579 5192   48 4115 1349 5027 3633  923 2422]
404,[1887 2579   48 4583 4384 2593 3168 2451 5027 1648]
405,[1887 2593 2010 4384 4583 2046 1267 5027 7677 2579]
406,[4583 1887 2579   48 1648 2451 3633 4384 2593 5192]
407,[1887 4583 2593 2010 2579 5027 4384 4390   48 2046]
408,[2579   48 2144  659 3633 3136 3168 4583 2281 8821]
409,[3633   48 2579 1349 3168 5192 4384 1648 1797 2451]
410,[4583 5192 2579 1887 4115 2046 2890   87 1349 2010]
411,[4583 2144 2579 2052 1887 1588   48 2277 2593 5027]
412,[4583 5192 8943  923 2890 4115 2350 1797 3446 1349]
413,[4583 2579   48 1887 3633 2422 1938   87 5027 4390]
414,[4583 2579 3633   48 2422  659 2281 1888 2224 1761]
415,[2941  659 1297 3633 5567 8821 7686 4040 2144  461]
416,[2579 4583 1887   48 3633  659 2451 2422 2593 4384]
417,[3633 2941 2422 5567  659 4131 4235 7686 1036 4077]
418,[4583 1887 2046 4390   87 1310 2010 2593 5192 2579]
419,[4583 2579   48 5027 3633 2422 1588 1887 4115   87]
420,[2579   48 5027 3168 4583 5423 5476 1887 2052 2277]
421,[2579 3633   48 4583 2422  659 3168 1888 3136 2281]
422,[4583 2579 5423   48 5027 2277 2281 1588 8821 5476]
423,[4583 1887 1588 4390   87 2046 2593 2010 8943 3500]
424,[4583 1887 2579   48 5027 2010 2593 4390   87 1588]
425,[4583 1887 2010 2593 2350 4390 1588 2046 6427 8943]
426,[3633 2422 2579 4583   48 4115 5192 1349 4235 3168]
